
192.168.0.1;10:50:72:B5:80:C2
192.168.0.2;74:EE:2A:E2:92:BB
192.168.0.3;48:8F:5A:80:6E:1A
192.168.0.5;DC:4F:22:30:FD:FA
192.168.0.6;B4:E6:2D:4A:29:6D
192.168.0.7;B4:E6:2D:76:1E:14
192.168.0.8;28:24:FF:06:9F:3C
192.168.0.10;D4:A6:51:50:5B:D2
192.168.0.11;1C:12:B0:03:9C:15
192.168.0.12;84:0D:8E:B5:CD:85
192.168.0.16;C8:F7:42:17:29:CF
192.168.0.19;54:E0:19:56:7B:87
192.168.0.23;DC:A9:04:8D:D7:20
192.168.0.37;B8:E8:56:B5:AC:E6
192.168.0.38;1E:13:61:3C:8F:53
192.168.0.42;0C:2A:69:1E:C5:06
192.168.0.43;54:E0:19:F7:2B:2D
192.168.0.44;30:88:41:FE:C6:5D
192.168.0.45;A8:3F:A1:82:BB:A8
192.168.0.47;70:54:B4:55:28:F5
192.168.0.18;90:72:40:00:2F:86
192.168.0.27;EC:B5:FA:07:14:4E
192.168.0.46;48:8F:5A:74:AB:F6
192.168.0.50;DC:A6:32:AE:90:E5
192.168.0.51;DC:A6:32:AE:90:E5
192.168.0.52;DC:A6:32:A9:D6:1A
192.168.0.53;DC:A6:32:0E:9B:94
192.168.0.54;DC:A6:32:16:CA:0C
192.168.0.254;C0:7B:BC:99:F7:C
